subject,place,status,radius,Key1.1,Key2.1,Key3.1,Key4.1,Key5.1,Key6.1,Key7.1,Key8.1,Key9.1,Key10.1
2,outer,OPTIMAL,0.95788656089688,0.23695998755778955,0.16650595977832638,0.37539215789942826,0.7369306450116847,0.9465482548364457,0.3525997346040641,0.16299262786593977,0.11866908347933021,0.21963261362439723,0.5600437615279775
2,inner,INTERRUPTED,0.6186493312870582,0.2802556722503658,0.19761309890077955,0.6548584547803684,0.670434251039363,1.0268611218345203,0.47231191204170087,0.23449535977069672,0.06812411594498294,0.19854650303841445,0.5887510118475467
3,outer,OPTIMAL,0.9108468870921812,0.3932124791844433,0.16325930965397714,0.22882559504474553,0.5730056624041016,0.5581633206953558,0.2063374249261859,0.14154463079739607,0.1485581019833964,0.13378225480796907,0.711386754124493
3,inner,INTERRUPTED,0.6210321098637306,0.5273442317899572,0.1328517360336296,0.30276057253802807,0.7219701061825267,0.7117307566154627,0.17646393294968968,0.0705210230342572,0.137543246694359,0.06224093594580254,0.7629682237216949
4,outer,OPTIMAL,0.9560792297420128,0.5154703500257111,0.2013037151706307,0.5031426194352164,0.5464804528216137,0.6152306379235292,0.21452736615046922,0.07823544819363278,0.1201915851460425,0.12412525558577038,0.25284403722427234
4,inner,INTERRUPTED,0.6146346115133758,0.694752301423724,0.2666477418754996,0.7032365440517416,0.5293286437218815,0.8054996025176229,0.22437749162328263,0.029690736298959717,0.11420833452859279,0.09447875196207196,0.2693078458095201
5,outer,OPTIMAL,1.2880051295991095,0.4912628244693286,0.29274686664764915,0.34795387450601956,0.5317193548596255,1.5010391390517628,0.5506745668762165,0.439813530404428,0.325269143823142,0.38863767176833103,0.5465913690610843
5,inner,INTERRUPTED,0.890707599602451,0.572783241875067,0.31543369729795484,0.5060974523758489,0.37409702206949413,1.5853097564251195,0.5612305287978456,0.708145044909435,0.4198498792452812,0.33766079639814484,0.6469508142998448
7,outer,OPTIMAL,0.6669864880688074,0.30174467911818986,0.11336423499847396,0.4417708783915134,0.47228591239768253,0.5537933173711711,0.27796658855810774,0.14790400036911835,0.147477534467178,0.17049065527873394,0.37818618191009956
7,inner,INTERRUPTED,0.4667996976885364,0.33057321242382887,0.06181532750920823,0.5364782734942964,0.5475604572499283,0.5496700223125401,0.35251211752094214,0.13738971728381047,0.16938636303367344,0.21961522316964202,0.4938280370951295
8,outer,OPTIMAL,0.8739768134847284,0.21301279192676065,0.1276849785978265,0.3780831782572352,0.9498709385220782,0.36461174793519946,0.24104369831728803,0.12023903597328034,0.10710788249013035,0.23789718206455895,0.32313448642950937
8,inner,OPTIMAL,0.5782456802525198,0.2633757768800804,0.164306529439865,0.6082533181163812,0.9295347423392614,0.37519650067565297,0.31363167431110534,0.12059407661346426,0.09151900043532328,0.36256572577814195,0.41811378203936633
10,outer,OPTIMAL,0.6649103999014266,0.15663125287036458,0.22407616422596552,0.11476211849403076,0.37050880208030457,0.4907522547097547,0.2773625857153462,0.11592412016068036,0.170162924241035,0.3752396101424706,0.2603965367177889
10,inner,INTERRUPTED,0.4167556942776782,0.18390403590295037,0.3140542751060421,0.04554793173242729,0.46392372281037036,0.4476889670790129,0.4019337863237722,0.09383977252349161,0.10155238666108399,0.503727233695619,0.248239484219528
11,outer,OPTIMAL,0.8351845956012112,0.2410613991706488,0.16800623503244688,0.3136542013551681,0.5886624656791701,0.5388235596876679,0.21091906500411176,0.15936464892688126,0.11099549446196551,0.15136286800426565,0.6002018902034627
11,inner,INTERRUPTED,0.5306378074478202,0.27122042516085787,0.1726249240243442,0.5640958354659078,0.6864677744320685,0.6106309710305123,0.23913865731065528,0.1786260942715777,0.04343695341900512,0.22023837096192425,0.6626537327522252
12,outer,OPTIMAL,0.9837603381484085,0.7180389265534098,0.15793046248061787,0.4277240526607096,0.6138571573715526,0.43460978238438697,0.19773907477167732,0.12727754179668102,0.16031470228992073,0.2552459671852015,0.45054393979983154
12,inner,INTERRUPTED,0.6782656525920885,0.773103747007574,0.11846208641749217,0.6657192836572335,0.6165095694831221,0.4157782762792959,0.15938366631234116,0.09532903441235066,0.0034227381797042257,0.20496830407482353,0.49636647265683487
13,outer,OPTIMAL,0.7157932324675665,0.13187743741719973,0.10889890662713994,0.0774149111976175,0.7409555004056558,0.43268284688586517,0.1628447130927436,0.18509804138990119,0.0901463508115403,0.1310623205474082,0.3417747281563951
13,inner,OPTIMAL,0.003072356804147255,0.12817211968678194,0.1476380178927463,0.10639390619834649,1.3804588068625108,0.6016963882563496,0.2298229145387606,0.35268783144837856,0.12099352522806313,0.14277095103869902,0.5153370288204141
15,outer,OPTIMAL,0.9936441849212849,0.1619294467292973,0.14677801662379647,0.5717350978688996,0.5931639676426045,0.7161525175176086,0.27574911043430594,0.14353261791002608,0.13664980188649326,0.20203780931415438,0.21218902227699837
15,inner,OPTIMAL,0.7115388366400967,0.03882921834185712,0.18603964511887616,0.7177194873850224,0.6135786158868375,0.9111439428709014,0.2918122252870215,0.103588130670979,0.13785263993799318,0.23601948986955787,0.22353116145430302
16,outer,OPTIMAL,1.6757331582884076,0.5375686850535638,0.24099564547743924,1.172876854498066,0.9250185372171944,1.3729976641797528,0.33961941623450875,0.4534115568932233,0.6374840607798984,0.3411863937937785,1.0679927247252086
16,inner,OPTIMAL,1.103698272290565,0.6879059770941562,0.2631169152755935,1.3265466209907846,1.1002309875704515,1.2260481181853808,0.37419176071238874,0.6075381832138053,1.0810258911649018,0.34240580319424657,1.1488888738755503
17,outer,OPTIMAL,0.6775902532506684,0.4179044641031834,0.10500370868812114,0.13374968056160272,0.7337362033477933,0.5289583782892072,0.23004850941496285,0.11949092500391188,0.08013877961763062,0.21621396959577158,0.22432919853376657
17,inner,OPTIMAL,0.4030850954482635,0.4209645287384871,0.24476987791396657,0.14523449722276413,0.7916091346109886,0.6527180073090922,0.28017562596550905,0.07953220915852305,0.03475145462309881,0.3741801135604647,0.30106820483792657
